id	definition_source	definition	definition_pp	definition_description	specific	specific_pp	level_5	level_5_pp	subclass	subclass_pp	class	class_pp	superclass	superclass_pp
26	subclass	Dicarboxylic acids and derivatives	0.7510	Organic compounds containing exactly two carboxylic acid groups.	Dicarboxylic acids and derivatives	0.7510			Dicarboxylic acids and derivatives	0.7510	Carboxylic acids and derivatives	0.9790	Organic acids and derivatives	0.9940
28	class	Benzene and substituted derivatives	0.8790	Aromatic compounds containing one monocyclic ring system consisting of benzene.	Benzene and substituted derivatives	0.8790					Benzene and substituted derivatives	0.8790	Benzenoids	0.9900
29	null	null	null	null										
30	class	Carboxylic acids and derivatives	0.7570	Compounds containing a carboxylic acid group with the formula -C(=O)OH or a derivative thereof.	Amino acids	0.0750	Amino acids and derivatives	0.2710	Amino acids, peptides, and analogues	0.2680	Carboxylic acids and derivatives	0.7570	Organic acids and derivatives	0.9980
31	subclass	Sesquiterpenoids	0.6950	Terpenes with three consecutive isoprene units.	Sesquiterpenoids	0.6950			Sesquiterpenoids	0.6950	Prenol lipids	0.7990	Lipids and lipid-like molecules	0.6140
32	subclass	Terpene glycosides	0.8330	Prenol lipids containing a carbohydrate moiety glycosidically bound to a terpene backbone.	Terpene glycosides	0.8330			Terpene glycosides	0.8330	Prenol lipids	0.9270	Lipids and lipid-like molecules	0.9750
33	level_5	Cyclic alcohols and derivatives	0.5820	Organic compounds containing an aliphatic ring substituted with at least one hydroxyl group.	Cyclic alcohols and derivatives	0.5820	Cyclic alcohols and derivatives	0.5820	Alcohols and polyols	0.6760	Organooxygen compounds	0.9980	Organic oxygen compounds	1.0000
34	subclass	Amino acids, peptides, and analogues	0.8710	Organic compounds containing an amino acid or a peptide backbone, or derivatives thereof.	Peptides	0.2970	Peptides	0.2970	Amino acids, peptides, and analogues	0.8710	Carboxylic acids and derivatives	0.8640	Organic acids and derivatives	0.9190
36	superclass	Lipids and lipid-like molecules	1.0000	Fatty acids and their derivatives, and substances related biosynthetically or functionally to these compounds.	Prenol lipids	0.0000					Prenol lipids	0.0000	Lipids and lipid-like molecules	1.0000
37	class	Pyrans	0.6080	Compounds containing a pyran ring, which is a six-member heterocyclic, non-aromatic ring with five carbon atoms, one oxygen atom and  two ring double bonds.	Pyrans	0.6080					Pyrans	0.6080	Organoheterocyclic compounds	0.9540
38	level_5	Alkyl phosphates	0.8880	Organic compounds containing a phosphate group that is linked to one or more alkyl chains.	Alkyl phosphates	0.8880	Alkyl phosphates	0.8880	Phosphate esters	0.9230	Organic phosphoric acids and derivatives	0.9630	Organic acids and derivatives	0.9850
39	level_5	Long-chain fatty acids	0.9920	Fatty acids with an aliphatic tail that contains between 13 and 21 carbon atoms.	Long-chain fatty acids	0.9920	Long-chain fatty acids	0.9920	Fatty acids and conjugates	0.9930	Fatty Acyls	1.0000	Lipids and lipid-like molecules	1.0000
40	level_5	Medium-chain fatty acids	0.9690	Fatty acids with an aliphatic tail that contains between 4 and 12 carbon atoms.	Medium-chain fatty acids	0.9690	Medium-chain fatty acids	0.9690	Fatty acids and conjugates	0.9950	Fatty Acyls	0.9980	Lipids and lipid-like molecules	0.9990
42	null	null	null	null										
43	subclass	Alpha-keto acids and derivatives	0.9270	Organic compounds containing an aldehyde substituted with a keto group on the adjacent carbon.	Alpha-keto acids and derivatives	0.9270			Alpha-keto acids and derivatives	0.9270	Keto acids and derivatives	0.7860	Organic acids and derivatives	0.9870
45	class	Diazines	0.5090	Organic compounds containing a five-member heterocyclic compound with five nitrogen atoms, and two nitrogen atoms at positions 1 and 2 (Pyridazines), 1 and 3 (Pyrimidines), or 1 and 4 (Pyrazines).	Diazines	0.5090					Diazines	0.5090	Organoheterocyclic compounds	0.8730
49	level_5	Disaccharides	0.9640	Compounds containing two carbohydrate moieties linked to each to each other through a glycosidic bond, no set of three or more glycosidically linked carbohydrate units.	Disaccharides	0.9640	Disaccharides	0.9640	Carbohydrates and carbohydrate conjugates	1.0000	Organooxygen compounds	1.0000	Organic oxygen compounds	1.0000
50	subclass	Dicarboxylic acids and derivatives	0.8400	Organic compounds containing exactly two carboxylic acid groups.	Dicarboxylic acids and derivatives	0.8400			Dicarboxylic acids and derivatives	0.8400	Carboxylic acids and derivatives	0.9840	Organic acids and derivatives	0.9950
52	subclass	Imidazoles	0.7700	Compounds containing an imidazole ring, which is an aromatic five-member ring with two nitrogen atoms at positions 1 and 3, and three carbon atoms.	Imidazoles	0.7700			Imidazoles	0.7700	Azoles	0.8210	Organoheterocyclic compounds	0.9910
53	superclass	Lipids and lipid-like molecules	0.6290	Fatty acids and their derivatives, and substances related biosynthetically or functionally to these compounds.	Lipids and lipid-like molecules	0.6290							Lipids and lipid-like molecules	0.6290
54	level_5	Pyrimidine ribonucleoside diphosphates	0.5770	Pyrimidine ribonucleotides with diphosphate group  linked to the ribose moiety.	Pyrimidine ribonucleoside diphosphates	0.5770	Pyrimidine ribonucleoside diphosphates	0.5770	Pyrimidine ribonucleotides	0.5890	Pyrimidine nucleotides	0.8760	Nucleosides, nucleotides, and analogues	0.9630
55	superclass	Lipids and lipid-like molecules	0.9090	Fatty acids and their derivatives, and substances related biosynthetically or functionally to these compounds.	Terpene glycosides	0.0000			Terpene glycosides	0.0000	Prenol lipids	0.0000	Lipids and lipid-like molecules	0.9090
56	level_5	Medium-chain fatty acids	0.8840	Fatty acids with an aliphatic tail that contains between 4 and 12 carbon atoms.	Medium-chain fatty acids	0.8840	Medium-chain fatty acids	0.8840	Fatty acids and conjugates	0.9890	Fatty Acyls	0.9960	Lipids and lipid-like molecules	0.9980
57	class	Carboxylic acids and derivatives	0.6350	Compounds containing a carboxylic acid group with the formula -C(=O)OH or a derivative thereof.	Amino acids and derivatives	0.4810	Amino acids and derivatives	0.4810	Amino acids, peptides, and analogues	0.4770	Carboxylic acids and derivatives	0.6350	Organic acids and derivatives	0.5000
58	superclass	Organic acids and derivatives	0.9970	Compounds an organic acid or a derivative thereof.	Monocarboxylic acids and derivatives	0.2170			Monocarboxylic acids and derivatives	0.2170	Carboxylic acids and derivatives	0.2430	Organic acids and derivatives	0.9970
59	subclass	Carbohydrates and carbohydrate conjugates	0.9940	Monosaccharides, disaccharides, oligosaccharides, polysaccharides, and their derivatives.	2-deoxystreptamine aminoglycosides	0.0000	Aminosaccharides	0.0000	Carbohydrates and carbohydrate conjugates	0.9940	Organooxygen compounds	0.9990	Organic oxygen compounds	1.0000
60	level_5	Medium-chain fatty acids	0.7650	Fatty acids with an aliphatic tail that contains between 4 and 12 carbon atoms.	Medium-chain fatty acids	0.7650	Medium-chain fatty acids	0.7650	Fatty acids and conjugates	0.9960	Fatty Acyls	0.9990	Lipids and lipid-like molecules	1.0000
61	level_5	Medium-chain fatty acids	0.8030	Fatty acids with an aliphatic tail that contains between 4 and 12 carbon atoms.	Medium-chain fatty acids	0.8030	Medium-chain fatty acids	0.8030	Fatty acids and conjugates	0.8990	Fatty Acyls	0.9760	Lipids and lipid-like molecules	0.9920
62	level_5	Pyrimidones	0.9080	Compounds that contain a pyrimidine ring, which bears a ketone. Pyrimidine is a 6-membered ring consisting of four carbon atoms and two nitrogen centers at the 1- and 3- ring positions.	Pyrimidones	0.9080	Pyrimidones	0.9080	Pyrimidines and pyrimidine derivatives	0.7810	Diazines	0.6270	Organoheterocyclic compounds	0.7000
63	level_5	Benzoic acid esters	0.6470	Ester derivatives of benzoic acid.	Benzoic acid esters	0.6470	Benzoic acid esters	0.6470	Benzoic acids and derivatives	0.7780	Benzene and substituted derivatives	0.9780	Benzenoids	0.9570
64	level_5	Carboxylic acid esters	0.5890	Carboxylic acid derivatives in which the carbon atom from the carbonyl group is attached to an alkyl or an aryl moiety through an oxygen atom (forming an ester group).	Carboxylic acid esters	0.5890	Carboxylic acid esters	0.5890	Carboxylic acid derivatives	0.6880	Carboxylic acids and derivatives	0.9560	Organic acids and derivatives	0.9810
65	subclass	Pyranones and derivatives	0.5480	Compounds containing a pyran ring which bears a ketone.	Pyranones and derivatives	0.5480			Pyranones and derivatives	0.5480	Pyrans	0.5910	Organoheterocyclic compounds	0.7930
66	class	Naphthalenes	0.7030	Compounds containing a naphthalene moiety, which consists of two fused benzene rings.	Naphthalenes	0.7030					Naphthalenes	0.7030	Benzenoids	0.9330
67	level_5	Amino acids and derivatives	0.9850	Organic compounds containing an amine group, a carboxylic acid group (or a derivative thereof), and a side-chain that is specific to each amino acid.	N-acyl-alpha amino acids	0.6760	Amino acids and derivatives	0.9850	Amino acids, peptides, and analogues	0.9850	Carboxylic acids and derivatives	0.9970	Organic acids and derivatives	0.9990
68	level_5	Medium-chain fatty acids	0.9760	Fatty acids with an aliphatic tail that contains between 4 and 12 carbon atoms.	Medium-chain fatty acids	0.9760	Medium-chain fatty acids	0.9760	Fatty acids and conjugates	0.9970	Fatty Acyls	0.9990	Lipids and lipid-like molecules	1.0000
69	class	Benzene and substituted derivatives	0.6100	Aromatic compounds containing one monocyclic ring system consisting of benzene.	Benzene and substituted derivatives	0.6100					Benzene and substituted derivatives	0.6100	Benzenoids	0.6400
71	level_5	Medium-chain fatty acids	0.9580	Fatty acids with an aliphatic tail that contains between 4 and 12 carbon atoms.	Medium-chain fatty acids	0.9580	Medium-chain fatty acids	0.9580	Fatty acids and conjugates	0.9890	Fatty Acyls	0.9960	Lipids and lipid-like molecules	0.9990
77	level_5	Fatty acyl glycosides of mono- and disaccharides	0.5830	Compounds composed of a mono- or disaccharide moiety linked to one hydroxyl group of a fatty alcohol or of a phosphorylated alcohol (phosphoprenols), a hydroxy fatty acid or to one carboxyl group of a fatty acid (ester linkage) or to an amino alcohol.	Fatty acyl glycosides of mono- and disaccharides	0.5830	Fatty acyl glycosides of mono- and disaccharides	0.5830	Fatty acyl glycosides	0.6510	Fatty Acyls	0.9810	Lipids and lipid-like molecules	0.9910
78	level_5	Peptides	0.9600	Compounds containing an amide derived from two or more amino carboxylic acid molecules (the same or different) by formation of a covalent bond from the carbonyl carbon of one to the nitrogen atom of another.	Peptides	0.9600	Peptides	0.9600	Amino acids, peptides, and analogues	0.9630	Carboxylic acids and derivatives	0.9820	Organic acids and derivatives	0.9930
80	level_5	Amino acids and derivatives	1.0000	Organic compounds containing an amine group, a carboxylic acid group (or a derivative thereof), and a side-chain that is specific to each amino acid.	N-acyl-alpha amino acids	0.9700	Amino acids and derivatives	1.0000	Amino acids, peptides, and analogues	1.0000	Carboxylic acids and derivatives	1.0000	Organic acids and derivatives	1.0000
81	class	Carboxylic acids and derivatives	0.9930	Compounds containing a carboxylic acid group with the formula -C(=O)OH or a derivative thereof.	N-acyl-alpha amino acids and derivatives	0.6110	Amino acids and derivatives	0.4320	Amino acids, peptides, and analogues	0.4290	Carboxylic acids and derivatives	0.9930	Organic acids and derivatives	1.0000
82	level_5	Amino acids and derivatives	0.9810	Organic compounds containing an amine group, a carboxylic acid group (or a derivative thereof), and a side-chain that is specific to each amino acid.	Alpha amino acids and derivatives	0.9150	Amino acids and derivatives	0.9810	Amino acids, peptides, and analogues	0.9810	Carboxylic acids and derivatives	0.9850	Organic acids and derivatives	0.9900
84	level_5	Disaccharides	0.7820	Compounds containing two carbohydrate moieties linked to each to each other through a glycosidic bond, no set of three or more glycosidically linked carbohydrate units.	Disaccharides	0.7820	Disaccharides	0.7820	Carbohydrates and carbohydrate conjugates	0.9990	Organooxygen compounds	1.0000	Organic oxygen compounds	1.0000
85	null	null	null	null	Lignans, neolignans and related compounds	0.0000							Lignans, neolignans and related compounds	0.0000
86	subclass	Carboxylic acids	0.8960	Compounds containing a carboxylic acid group with the formula -C(=O)OH.	Carboxylic acids	0.8960			Carboxylic acids	0.8960	Carboxylic acids and derivatives	0.9840	Organic acids and derivatives	0.9890
88	class	Organooxygen compounds	0.9990	Organic compounds containing a bond between a carbon atom and an oxygen atom.	Glycosylamines	0.0010	Glycosyl compounds	0.0000	Carbohydrates and carbohydrate conjugates	0.0010	Organooxygen compounds	0.9990	Organic oxygen compounds	1.0000
89	class	Coumarins and derivatives	0.7190	Polycyclic aromatic compounds containing a 1-benzopyran moiety with a ketone group at the C2 carbon atom (1-benzopyran-2-one).	Coumarins and derivatives	0.7190					Coumarins and derivatives	0.7190	Phenylpropanoids and polyketides	0.6900
90	subclass	Imidazoles	0.5640	Compounds containing an imidazole ring, which is an aromatic five-member ring with two nitrogen atoms at positions 1 and 3, and three carbon atoms.	Imidazoles	0.5640			Imidazoles	0.5640	Azoles	0.6530	Organoheterocyclic compounds	0.9000
91	null	null	null	null	Terpene glycosides	0.0000			Terpene glycosides	0.0000	Prenol lipids	0.0020	Lipids and lipid-like molecules	0.0130
92	level_5	Benzoic acid esters	0.9050	Ester derivatives of benzoic acid.	Benzoic acid esters	0.9050	Benzoic acid esters	0.9050	Benzoic acids and derivatives	0.9170	Benzene and substituted derivatives	0.9880	Benzenoids	0.9950
93	level_5	Monosaccharides	0.8150	Compounds containing one carbohydrate unit not glycosidically linked to another such unit, and no set of two or more glycosidically linked carbohydrate units. Monosaccharides have the general formula CnH2nOn.	Hexoses	0.8620	Monosaccharides	0.8150	Carbohydrates and carbohydrate conjugates	0.9910	Organooxygen compounds	1.0000	Organic oxygen compounds	1.0000
96	level_5	Aminopyrimidines and derivatives	0.6030	Organic compounds containing an amino group attached to a pyrimidine ring. Pyrimidine is a 6-membered ring consisting of four carbon atoms and two nitrogen centers at the 1- and 3- ring positions.	Aminopyrimidines and derivatives	0.6030	Aminopyrimidines and derivatives	0.6030	Pyrimidines and pyrimidine derivatives	0.7480	Diazines	0.7900	Organoheterocyclic compounds	0.9690
97	superclass	Benzenoids	0.5110	Aromatic compounds containing one or more benzene rings.	Benzenoids	0.5110							Benzenoids	0.5110
98	subclass	Lineolic acids and derivatives	0.6630	Derivatives of lineolic acid. Lineolic acid is a polyunsaturated omega-6 18 carbon long fatty acid, with two CC double bonds at the 9- and 12-positions.	Lineolic acids and derivatives	0.6630			Lineolic acids and derivatives	0.6630	Fatty Acyls	0.9970	Lipids and lipid-like molecules	0.9990
99	null	null	null	null	Aryl phosphates	0.0000	Aryl phosphates	0.0000	Phosphate esters	0.0000	Organic phosphoric acids and derivatives	0.0000	Organic acids and derivatives	0.3130
101	subclass	Dicarboxylic acids and derivatives	0.8230	Organic compounds containing exactly two carboxylic acid groups.	Dicarboxylic acids and derivatives	0.8230			Dicarboxylic acids and derivatives	0.8230	Carboxylic acids and derivatives	0.9500	Organic acids and derivatives	0.9770
102	subclass	Dicarboxylic acids and derivatives	0.8740	Organic compounds containing exactly two carboxylic acid groups.	Dicarboxylic acids and derivatives	0.8740			Dicarboxylic acids and derivatives	0.8740	Carboxylic acids and derivatives	0.9290	Organic acids and derivatives	0.9490
104	class	Carboxylic acids and derivatives	0.9690	Compounds containing a carboxylic acid group with the formula -C(=O)OH or a derivative thereof.	Amino acids	0.7180	Amino acids and derivatives	0.4820	Amino acids, peptides, and analogues	0.4670	Carboxylic acids and derivatives	0.9690	Organic acids and derivatives	0.9780
105	level_5	Long-chain fatty acids	0.8890	Fatty acids with an aliphatic tail that contains between 13 and 21 carbon atoms.	Long-chain fatty acids	0.8890	Long-chain fatty acids	0.8890	Fatty acids and conjugates	0.4070	Fatty Acyls	0.9910	Lipids and lipid-like molecules	0.9890
106	subclass	Benzoyl derivatives	0.6090	Organic compounds containing an acyl moiety of benzoic acid with the formula (C6H5CO-).	Benzoyl derivatives	0.6090			Benzoyl derivatives	0.6090	Benzene and substituted derivatives	0.9340	Benzenoids	0.9150
107	subclass	Lineolic acids and derivatives	0.8320	Derivatives of lineolic acid. Lineolic acid is a polyunsaturated omega-6 18 carbon long fatty acid, with two CC double bonds at the 9- and 12-positions.	Lineolic acids and derivatives	0.8320			Lineolic acids and derivatives	0.8320	Fatty Acyls	0.9970	Lipids and lipid-like molecules	0.9990
108	level_5	Purinones	0.7000	Purines in which the purine moiety bears a C=O group. Purine is a bicyclic aromatic compound made up of a pyrimidine ring fused to an imidazole ring.	Purinones	0.7000	Purinones	0.7000	Purines and purine derivatives	0.6720	Imidazopyrimidines	0.8670	Organoheterocyclic compounds	0.9870
109	null	null	null	null	Benzenoids	0.0140							Benzenoids	0.0140
110	level_5	Medium-chain fatty acids	0.9470	Fatty acids with an aliphatic tail that contains between 4 and 12 carbon atoms.	Medium-chain fatty acids	0.9470	Medium-chain fatty acids	0.9470	Fatty acids and conjugates	0.9940	Fatty Acyls	0.9980	Lipids and lipid-like molecules	0.9990
112	level_5	Diarylethers	0.8420	Organic compounds containing the dialkyl ether functional group, with the formula ROR', where R and R' are aryl groups.	Diarylethers	0.8420	Diarylethers	0.8420	Ethers	0.9690	Organooxygen compounds	1.0000	Organic oxygen compounds	1.0000
115	level_5	Glycosyl compounds	0.5050	Carbohydrate derivatives in which a sugar group is bonded through its anomeric carbon to another group via a C-, S-,N-,O-, or Se- glycosidic bond.	O-glycosyl compounds	0.5760	Glycosyl compounds	0.5050	Carbohydrates and carbohydrate conjugates	0.9740	Organooxygen compounds	1.0000	Organic oxygen compounds	1.0000
116	class	Organooxygen compounds	0.9990	Organic compounds containing a bond between a carbon atom and an oxygen atom.	Hexoses	0.0190	Monosaccharides	0.2330	Carbohydrates and carbohydrate conjugates	0.0730	Organooxygen compounds	0.9990	Organic oxygen compounds	1.0000
117	superclass	Organoheterocyclic compounds	0.9510	Compounds containing a ring with least one carbon atom and one non-carbon atom.	6-oxopurines	0.6150	Purinones	0.4570	Purines and purine derivatives	0.2900	Imidazopyrimidines	0.3560	Organoheterocyclic compounds	0.9510
119	class	Carboxylic acids and derivatives	0.9180	Compounds containing a carboxylic acid group with the formula -C(=O)OH or a derivative thereof.	Alpha amino acids and derivatives	0.5710	Amino acids and derivatives	0.4910	Amino acids, peptides, and analogues	0.4930	Carboxylic acids and derivatives	0.9180	Organic acids and derivatives	0.9870
120	level_5	Tertiary alcohols	0.5580	Compounds in which a hydroxy group, -OH, is attached to a saturated carbon atom R3COH (R not H ).	Tertiary alcohols	0.5580	Tertiary alcohols	0.5580	Alcohols and polyols	0.8240	Organooxygen compounds	0.9990	Organic oxygen compounds	1.0000
121	level_5	Long-chain fatty acids	0.9970	Fatty acids with an aliphatic tail that contains between 13 and 21 carbon atoms.	Long-chain fatty acids	0.9970	Long-chain fatty acids	0.9970	Fatty acids and conjugates	0.9950	Fatty Acyls	1.0000	Lipids and lipid-like molecules	1.0000
122	level_5	Long-chain fatty acids	0.9650	Fatty acids with an aliphatic tail that contains between 13 and 21 carbon atoms.	Long-chain fatty acids	0.9650	Long-chain fatty acids	0.9650	Fatty acids and conjugates	0.9980	Fatty Acyls	1.0000	Lipids and lipid-like molecules	1.0000
124	subclass	Lineolic acids and derivatives	0.6480	Derivatives of lineolic acid. Lineolic acid is a polyunsaturated omega-6 18 carbon long fatty acid, with two CC double bonds at the 9- and 12-positions.	Lineolic acids and derivatives	0.6480			Lineolic acids and derivatives	0.6480	Fatty Acyls	0.9990	Lipids and lipid-like molecules	1.0000
125	level_5	Monosaccharides	0.5770	Compounds containing one carbohydrate unit not glycosidically linked to another such unit, and no set of two or more glycosidically linked carbohydrate units. Monosaccharides have the general formula CnH2nOn.	Monosaccharides	0.5770	Monosaccharides	0.5770	Carbohydrates and carbohydrate conjugates	0.4660	Organooxygen compounds	0.9990	Organic oxygen compounds	1.0000
126	superclass	Organoheterocyclic compounds	0.5330	Compounds containing a ring with least one carbon atom and one non-carbon atom.	Organoheterocyclic compounds	0.5330							Organoheterocyclic compounds	0.5330
127	level_5	Unsaturated fatty acids	0.9150	Fatty acids with a chain that contains at least one CC double bond.	Unsaturated fatty acids	0.9150	Unsaturated fatty acids	0.9150	Fatty acids and conjugates	0.9760	Fatty Acyls	0.9950	Lipids and lipid-like molecules	0.9970
131	level_5	Medium-chain fatty acids	0.5550	Fatty acids with an aliphatic tail that contains between 4 and 12 carbon atoms.	Medium-chain fatty acids	0.5550	Medium-chain fatty acids	0.5550	Fatty acids and conjugates	0.6150	Fatty Acyls	0.7300	Lipids and lipid-like molecules	0.7980
132	class	Benzene and substituted derivatives	0.9470	Aromatic compounds containing one monocyclic ring system consisting of benzene.	Benzoic acid esters	0.1330	Benzoic acid esters	0.1330	Benzoic acids and derivatives	0.3120	Benzene and substituted derivatives	0.9470	Benzenoids	0.9840
133	class	Carboxylic acids and derivatives	0.9990	Compounds containing a carboxylic acid group with the formula -C(=O)OH or a derivative thereof.	Amino acids	0.0000	Amino acids and derivatives	0.0000	Amino acids, peptides, and analogues	0.0000	Carboxylic acids and derivatives	0.9990	Organic acids and derivatives	1.0000
134	level_5	Amino acids and derivatives	0.9940	Organic compounds containing an amine group, a carboxylic acid group (or a derivative thereof), and a side-chain that is specific to each amino acid.	N-acyl-alpha amino acids	0.7960	Amino acids and derivatives	0.9940	Amino acids, peptides, and analogues	0.9940	Carboxylic acids and derivatives	0.9990	Organic acids and derivatives	1.0000
135	level_5	Amino acids and derivatives	0.6870	Organic compounds containing an amine group, a carboxylic acid group (or a derivative thereof), and a side-chain that is specific to each amino acid.	Alpha amino acids and derivatives	0.0860	Amino acids and derivatives	0.6870	Amino acids, peptides, and analogues	0.6950	Carboxylic acids and derivatives	0.9870	Organic acids and derivatives	0.9970
136	level_5	Branched fatty acids	0.5150	Fatty acids containing a branched chain.	Branched fatty acids	0.5150	Branched fatty acids	0.5150	Fatty acids and conjugates	0.9660	Fatty Acyls	0.9820	Lipids and lipid-like molecules	0.9850
138	class	Benzothiazoles	0.6600	Organic compounds containing a benzene fused to a thiazole ring (a five-membered ring with four carbon atoms, one nitrogen atom and one sulfur atom).	Benzothiazoles	0.6600					Benzothiazoles	0.6600	Organoheterocyclic compounds	0.9190
140	level_5	Amino acids and derivatives	0.5050	Organic compounds containing an amine group, a carboxylic acid group (or a derivative thereof), and a side-chain that is specific to each amino acid.	Amino acids	0.6440	Amino acids and derivatives	0.5050	Amino acids, peptides, and analogues	0.4910	Carboxylic acids and derivatives	0.9800	Organic acids and derivatives	0.9880
