id	name	formula	similarity	smiles	inchi	inchikey2D	score	xlogp	links
12	Acylglycine c:12	C14H27NO3	0.6872289668552565	CCCCCCCCCCCC(=O)NCC(=O)O	InChI=1S/C14H27NO3/c1-2-3-4-5-6-7-8-9-10-11-13(16)15-12-14(17)18/h2-12H2,1H3,(H,15,16)(H,17,18)	JWGGSJFIGIGFSQ	-49.463470028859355	4.30000019	PubChem:(346152, 4068942, 45934058); HMDB:(13272); CHEBI:(142678, 74441); ZINC bio:(ZINC28539109); SuperNatural:(SN00027353); COCONUT:(CNP0001599, CNP0213254); PubMed:(null)
14	monobutyl ester	C12H14O4	0.5860101120197934	CCCCOC(=O)C1=CC=CC=C1C(=O)O	InChI=1S/C12H14O4/c1-2-3-8-16-12(15)10-7-5-4-6-9(10)11(13)14/h4-7H,2-3,8H2,1H3,(H,13,14)	YZBOVSFWWNVKRJ	-71.51847049604172	2.53328919	PubChem:(8575, 21584886, 71750779, 101678631, 101678632); MeSH:(8575); HMDB:(13247); CHEBI:(88522); ZINC bio:(ZINC01586773); Natural Products:(UNPD135299); NORMAN:(NS00006195); COCONUT:(CNP0257384); additional:(null); PubMed:(null); PubChem class - bio and metabolites:(null); PubChem class - safety and toxic:(null); Training Set:(null); KEGG Mine:(null)
16	null	C37H68N6O8	0.5027863740040748	CCCCCCCCCCC1C(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCC(=O)O1)C(C)O)CCN)C(C)CC)CC(C)C)C)C	InChI=1S/C37H68N6O8/c1-9-11-12-13-14-15-16-17-18-29-25(6)37(50)43(8)28(21-23(3)4)34(47)41-31(24(5)10-2)36(49)40-27(19-20-38)33(46)42-32(26(7)44)35(48)39-22-30(45)51-29/h23-29,31-32,44H,9-22,38H2,1-8H3,(H,39,48)(H,40,49)(H,41,47)(H,42,46)	QFKOQRIELVWEBU	-253.5149015352798	5.5999999	PubChem:(138478932)
17	null	C22H40N4O9	0.3097956956704294	CC1C(C(C(C(O1)OCCCCCCNC(=O)C(CCC(=O)N)NC(=O)C(C)NC(=O)C)O)O)O	InChI=1S/C22H40N4O9/c1-12(25-14(3)27)20(32)26-15(8-9-16(23)28)21(33)24-10-6-4-5-7-11-34-22-19(31)18(30)17(29)13(2)35-22/h12-13,15,17-19,22,29-31H,4-11H2,1-3H3,(H2,23,28)(H,24,33)(H,25,27)(H,26,32)	MMQYEFOKIQJJBP	-308.87923619275773	-2.5	PubChem:(10601609, 10625327)
18	null	C15H15NO4	0.3816712677187156	CC1=CC=C(C=C1)OCC2=C(C=CC(=C2)[N+](=O)[O-])OC	InChI=1S/C15H15NO4/c1-11-3-6-14(7-4-11)20-10-12-9-13(16(17)18)5-8-15(12)19-2/h3-9H,10H2,1-2H3	FHHXNVCIQSYXOJ	-180.26836053291265	3.5999999	PubChem:(60655397)
19	null	C20H39N4O8P	0.17359296256588896	CC(C)OC(=O)NC[P+](CNC(=O)OC(C)C)(CNC(=O)OC(C)C)CNC(=O)OC(C)C	InChI=1S/C20H39N4O8P/c1-13(2)29-17(25)21-9-33(10-22-18(26)30-14(3)4,11-23-19(27)31-15(5)6)12-24-20(28)32-16(7)8/h13-16H,9-12H2,1-8H3,(H3-,21,22,23,24,25,26,27,28)/p+1	NHWIMWSFEIAZSN	-493.31706027277824	2.4000001	PubChem:(20340058)
20	null	C40H72NO9P	0.7357910165305931	CCCCCCCCC=CCCCCCCCC(=O)OC(COC#CCCCCCCC=CCCCCCC)COP(=O)(O)OCC(C(=O)O)N	InChI=1S/C40H72NO9P/c1-3-5-7-9-11-13-15-17-19-20-22-24-26-28-30-32-39(42)50-37(35-48-51(45,46)49-36-38(41)40(43)44)34-47-33-31-29-27-25-23-21-18-16-14-12-10-8-6-4-2/h14,16-17,19,37-38H,3-13,15,18,20-30,32,34-36,41H2,1-2H3,(H,43,44)(H,45,46)	JLJUXDIBMZEERX	-74.86053023602645	10.911109	YMDB Mine:(null)
21	2-Nitro-4-tert-butylphenol	C10H13NO3	0.4083641245185355	CC(C)(C)C1=CC(=C(C=C1)O)[N+](=O)[O-]	InChI=1S/C10H13NO3/c1-10(2,3)7-4-5-9(12)8(6-7)11(13)14/h4-6,12H,1-3H3	IHGNADPMUSNTJW	-161.04434435491956	2.817559	PubChem:(18661, 101202828); NORMAN:(NS00029348); PubChem class - safety and toxic:(null)
22	(2E,6E,10E)-trideca-2,6,10-trienoic acid	C13H20O2	0.32662301353039297	CCC=CCCC=CCCC=CC(=O)O	InChI=1S/C13H20O2/c1-2-3-4-5-6-7-8-9-10-11-12-13(14)15/h3-4,7-8,11-12H,2,5-6,9-10H2,1H3,(H,14,15)	SSLQPVYPYXOISW	-117.96289993624123	3.5	PubChem:(22718847)
23	null	C31H42N4O7	0.35119562657214737	CC(CO)C(=O)C(CC1=CC=CC=C1)NC(=O)C(CC2=CC=C(C=C2)OC)NC(=O)C(C)NC(=O)CN3CCOCC3	InChI=1S/C31H42N4O7/c1-21(20-36)29(38)26(17-23-7-5-4-6-8-23)33-31(40)27(18-24-9-11-25(41-3)12-10-24)34-30(39)22(2)32-28(37)19-35-13-15-42-16-14-35/h4-12,21-22,26-27,36H,13-20H2,1-3H3,(H,32,37)(H,33,40)(H,34,39)	DYDSDBSJGQLVQB	-421.64164724169285	1.89999998	PubChem:(137348135, 139033256); PubChem class - bio and metabolites:(null)
24	null	C13H17O4	0.3096416546515433	CC([CH2])COC(=O)C1=C(C=CC(=C1)OC)OC	InChI=1S/C13H17O4/c1-9(2)8-17-13(14)11-7-10(15-3)5-6-12(11)16-4/h5-7,9H,1,8H2,2-4H3	MNDBRCZNKICRBZ	-228.64773276606238	3.0	PubChem:(57446603)
25	null	C3HN2O5P	0.30185216430341255	C1(=O)C(=NC(=O)N1)O[P+](=O)O	InChI=1S/C3N2O5P/c6-1-2(10-11(8)9)5-3(7)4-1/q-1/p+2	FCEADCMVPKOWLG	-189.41064558445547	-0.899999976	PubChem:(67786983)
26	5-(7-hydroxy-2-methyl-4-oxochromen-3-yl)pentanoic acid	C15H16O5	0.4301752458380139	CC1=C(C(=O)C2=C(O1)C=C(C=C2)O)CCCCC(=O)O	InChI=1S/C15H16O5/c1-9-11(4-2-3-5-14(17)18)15(19)12-7-6-10(16)8-13(12)20-9/h6-8,16H,2-5H2,1H3,(H,17,18)	HIORMVBRFWZIEA	-212.93680369758587	2.76814628	PubChem:(14844863)
28	N-{2-Amino-4-oxo-6-methyl[(pyrrolo[2,3-d]pyrimidin-5-yl)propargylaminomethylene]benzoyl}-L-glutamic acid	C20H22N6O6	0.5625024069984087	CC1=C(C2=C(N1)N=C(NC2=O)N)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O	InChI=1S/C20H22N6O6/c1-9-12(15-16(23-9)25-20(21)26-18(15)30)8-22-11-4-2-10(3-5-11)17(29)24-13(19(31)32)6-7-14(27)28/h2-5,13,22H,6-8H2,1H3,(H,24,29)(H,27,28)(H,31,32)(H4,21,23,25,26,30)	CMMCCEOFORPIQN	-181.54502815230236	-0.100000001	PubChem:(136074288, 135467857); PubMed:(null)
29	null	C31H52N10O4	0.4706771591395584	C1=CC=C2C(=C1)C(=CN2)CC(=O)NC(CC(=O)N)C(=O)NCCCCCCCNCCCCCNC(=O)C(CCN=C(N)N)N	InChI=1S/C31H52N10O4/c32-24(13-18-39-31(34)35)29(44)37-16-10-4-8-15-36-14-7-2-1-3-9-17-38-30(45)26(20-27(33)42)41-28(43)19-22-21-40-25-12-6-5-11-23(22)25/h5-6,11-12,21,24,26,36,40H,1-4,7-10,13-20,32H2,(H2,33,42)(H,37,44)(H,38,45)(H,41,43)(H4,34,35,39)	QZQPWENRBMMZOH	-285.45483585612925	-0.600000024	PubChem:(71561993, 71582848); PubMed:(null)
30	1,3-bis(diethoxyphosphorylmethyl)-2,4-dihydroquinazoline	C18H32N2O6P2	0.2355259508179204	CCOP(=O)(CN1CC2=CC=CC=C2N(C1)CP(=O)(OCC)OCC)OCC	InChI=1S/C18H32N2O6P2/c1-5-23-27(21,24-6-2)15-19-13-17-11-9-10-12-18(17)20(14-19)16-28(22,25-7-3)26-8-4/h9-12H,5-8,13-16H2,1-4H3	VCOIXUWZENYMHG	-317.8680687542702	1.89999998	PubChem:(4300521)
31	null	C14H16O3	0.28405664007782316	CC(=C)C(=O)C=C(C(=O)C(=C)C)C(=O)C(=C)C	InChI=1S/C14H16O3/c1-8(2)12(15)7-11(13(16)9(3)4)14(17)10(5)6/h7H,1,3,5H2,2,4,6H3	FLOXPAYVFXTKDM	-168.0982890968839	2.70000005	PubChem:(87947857)
32	null	C38H60O13	0.44209933022987424	CC1C2C(CC3C2(CCC4C3CC=C5C4(CCC(C5)OC6C(C(C(C(O6)COC7C(C(C(CO7)O)O)O)O)O)O)C)C)OC18CCC(CO8)CO	InChI=1S/C38H60O13/c1-18-28-26(51-38(18)11-6-19(14-39)15-48-38)13-24-22-5-4-20-12-21(7-9-36(20,2)23(22)8-10-37(24,28)3)49-35-33(45)31(43)30(42)27(50-35)17-47-34-32(44)29(41)25(40)16-46-34/h4,18-19,21-35,39-45H,5-17H2,1-3H3	KCMPZYALSHXWBA	-323.042845219987	1.66006911	Natural Products:(UNPD197056); SuperNatural:(SN00349713); COCONUT:(CNP0174534)
33	1,8-bis(prop-2-ynoxy)octane	C14H22O2	0.2254012061556347	C#CCOCCCCCCCCOCC#C	InChI=1S/C14H22O2/c1-3-11-15-13-9-7-5-6-8-10-14-16-12-4-2/h1-2H,5-14H2	QGSHAMAHIOROLP	-117.78304446337297	2.70000005	PubChem:(22750208)
34	null	C23H46N8O12	0.44581275222384537	C1C(C(C(C(C1NC(=O)C(CCN)O)OC2C(C(C(C(O2)CO)O)N)O)O)OC3C(C(C(C(O3)CN)O)O)N=C(N)N)N	InChI=1S/C23H46N8O12/c24-2-1-8(33)20(39)30-7-3-6(26)18(42-21-12(31-23(28)29)16(37)14(35)9(4-25)40-21)17(38)19(7)43-22-15(36)11(27)13(34)10(5-32)41-22/h6-19,21-22,32-38H,1-5,24-27H2,(H,30,39)(H4,28,29,31)	GPCRPMAOTLKVBY	-272.6457971456613	-8.80000019	PubChem:(67816339, 77360916)
36	null	C39H71O9P	0.5040319889637116	CCCCCCCCC=CCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCC)COP(=O)(O)OCC=O	InChI=1S/C39H71O9P/c1-3-5-7-9-11-13-15-16-17-18-19-20-22-24-26-28-30-32-39(42)48-37(36-47-49(43,44)46-34-33-40)35-45-38(41)31-29-27-25-23-21-14-12-10-8-6-4-2/h10,12,16-17,33,37H,3-9,11,13-15,18-32,34-36H2,1-2H3,(H,43,44)	APWFYFZJODLIGV	-236.9550524167573	11.8382835	YMDB Mine:(null)
37	null	C13H14O5	0.3359794922188401	CC=CC=C(C(=O)C(=CC=CC)C(=O)O)C(=O)O	InChI=1S/C13H14O5/c1-3-5-7-9(12(15)16)11(14)10(13(17)18)8-6-4-2/h3-8H,1-2H3,(H,15,16)(H,17,18)	QISABJZULRFCRJ	-196.3712089798357	2.9000001	PubChem:(88074589, 88074591)
38	null	C20H31N4O8P	0.4876601418578629	CC(C(=O)O)N(C1CCCCCC1)P2(=O)OCC3C(O2)C(C(O3)N4C=CC(=NC4=O)N)(C)O	InChI=1S/C20H31N4O8P/c1-12(17(25)26)24(13-7-5-3-4-6-8-13)33(29)30-11-14-16(32-33)20(2,28)18(31-14)23-10-9-15(21)22-19(23)27/h9-10,12-14,16,18,28H,3-8,11H2,1-2H3,(H,25,26)(H2,21,22,27)	LPBITGMQBMRXRO	-428.39068241472233	0.0	PubChem:(117895716)
39	9,14-dihydroxyoctadecanoic acid	C18H36O4	0.5109368257458647	CCCCC(CCCCC(CCCCCCCC(=O)O)O)O	InChI=1S/C18H36O4/c1-2-3-11-16(19)13-9-10-14-17(20)12-7-5-4-6-8-15-18(21)22/h16-17,19-20H,2-15H2,1H3,(H,21,22)	UHSVJNCEYVVOCB	-111.58282114163096	4.4000001	PubChem:(5312768); Natural Products:(UNPD134473); SuperNatural:(SN00246890); COCONUT:(CNP0342486)
40	Acnederm	C9H16O4	0.7437501222460828	C(CCCC(=O)O)CCCC(=O)O	InChI=1S/C9H16O4/c10-8(11)6-4-2-1-3-5-7-9(12)13/h1-7H2,(H,10,11)(H,12,13)	BDJRBEYXGGNYIS	-25.833645269915937	1.71370327	PubChem:(2266, 3801344, 19347555, 56933547, 72735488, 71309726, 87110957); MeSH:(2266); HMDB:(784); KNApSAcK:(45634); CHEBI:(48131, 78208); KEGG:(C08261); HSDB:(123-99-9); Biocyc:(CPD0-1265); ZINC bio:(ZINC01531036); Natural Products:(UNPD104030); Plantcyc:(CPD0-1265); NORMAN:(NS00011498); SuperNatural:(SN00386191, SN00002167); COCONUT:(CNP0086335, CNP0225848); PubChem class - food:(null); additional:(null); PubMed:(null); PubChem class - bio and metabolites:(null); PubChem class - safety and toxic:(null); Training Set:(null); PubChem class - drug:(null)
42	null	C43H73N9O7	N/A	CCCCCCCCCCCCCC(=O)NC(CCCCN)C(=O)NC(C)C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NC(CC2=CC=CC=C2)C(=O)O	InChI=1S/C43H73N9O7/c1-3-4-5-6-7-8-9-10-11-12-16-26-37(53)49-33(23-17-18-27-44)39(55)48-31(2)38(54)50-34(24-19-28-47-43(45)46)41(57)52-29-20-25-36(52)40(56)51-35(42(58)59)30-32-21-14-13-15-22-32/h13-15,21-22,31,33-36H,3-12,16-20,23-30,44H2,1-2H3,(H,48,55)(H,49,53)(H,50,54)(H,51,56)(H,58,59)(H4,45,46,47)	KMIXPIJCUMGEKT	-466.96909314734904	2.9000001	PubChem:(89784009)
43	null	C5H4O4S	0.34477765016683226	C1=C(SC(=C1O)C(=O)O)O	InChI=1S/C5H4O4S/c6-2-1-3(7)10-4(2)5(8)9/h1,6-7H,(H,8,9)	BUTHAZJSPMNHQB	-129.23129975989318	1.60000002	PubChem:(69332609)
45	null	C17H32N6O3	0.3498908780462292	CCC1(C(=O)NC(=O)NC1=O)CCCN2CCNCCNCCNCC2	InChI=1S/C17H32N6O3/c1-2-17(14(24)21-16(26)22-15(17)25)4-3-11-23-12-9-19-7-5-18-6-8-20-10-13-23/h18-20H,2-13H2,1H3,(H2,21,22,24,25,26)	FJHBTPKHJGRZEM	-244.9782707992149	-1.20000005	PubChem:(102493558)
49	Trehaose	C12H22O11	0.7918300821813788	C(C1C(C(C(C(O1)OC2C(C(C(C(O2)CO)O)O)O)O)O)O)O	InChI=1S/C12H22O11/c13-1-3-5(15)7(17)9(19)11(21-3)23-12-10(20)8(18)6(16)4(2-14)22-12/h3-20H,1-2H2	HDTRYLNUVZCQOY	-39.471752867718116	-4.19999981	PubChem:(1143, 7427, 641622, 641623, 641628, 7567208, 7568941, 7568945, 7568949, 7568953, 6101927, 5321995, 5321996, 5321997, 10783457, 9840965, 12304616, 10871590, 10925912, 10088795, 10286734, 10405207, 11968999, 11969000, 10450108, 18638133, 18652485, 18667086, 21550669, 21550670, 21581143, 21633294, 22524534, 22814150, 22882169, 21340501, 26470604, 26470605, 24802549, 24824402, 25796499, 25796500, 25796501, 25796502, 45109765, 45109790, 44119912, 44158049, 46916361, 46916403, 51576595, 51576810, 51579139, 51579421, 57123435, 57194632, 53871972, 53871973, 53871974, 53871975, 53871976, 53871978, 53871979, 53871980, 53393674, 53393774, 57540272, 58863068, 58213449, 66782500, 67245415, 68762298, 69715361, 68977346, 68979673, 68200247, 69921592, 68356186, 68356187, 68361010, 68366980, 67987016, 68397078, 71034150, 71179347, 70386981, 70386984, 71189237, 70422664, 71217107, 71229164, 70899488, 70912444, 70927147, 71309828, 71309872, 90693018, 89611496, 90988804, 89770228, 90415516, 89443239, 91168237, 91188557, 89888870, 89988126, 89989620, 91696341, 91855250, 101520705, 101112665, 101592001, 101713947, 101714427, 102144874, 102216879, 100943801, 102358021, 118137522, 118907360, 118362244, 118362247, 118362312, 118362314, 122630561, 122630564, 122630565, 122630567, 122630568, 122630570, 122630573, 122630575, 122630579, 122630581, 122630582, 122630585, 122630589, 123804357, 124896890, 124896891, 124896892, 124896893, 132109186, 132109187, 134472968, 139025140); MeSH:(7427); HMDB:(975, 29880); KNApSAcK:(1152); CHEBI:(140775, 39245, 16551, 39244, 27082); KEGG:(C01083); Biocyc:(ALPHABETA-TREHALOSE, SMA-0000278, TREHALOSE); ZINC bio:(ZINC04095531, ZINC16889851, ZINC18033592, ZINC18045874, ZINC18166302, ZINC18179993, ZINC33834036); Natural Products:(UNPD109974, UNPD2095, UNPD46267, UNPD55450, UNPD12870); YMDB:(8); Plantcyc:(TREHALOSE); NORMAN:(NS00015235); SuperNatural:(SN00160651, SN00159619, SN00236238, SN00006852); COCONUT:(CNP0217590); PubChem class - food:(null); additional:(null); PubMed:(null); PubChem class - bio and metabolites:(null); Training Set:(null); PubChem class - drug:(null)
50	null	C20H26O6	0.31632861756189445	CC12CC(C1(C(=O)OC2=O)C)CCCCC3CC4(C3(C(=O)OC4=O)C)C	InChI=1S/C20H26O6/c1-17-9-11(19(17,3)15(23)25-13(17)21)7-5-6-8-12-10-18(2)14(22)26-16(24)20(12,18)4/h11-12H,5-10H2,1-4H3	BGZUZWGDPXZLFS	-258.0538678083833	3.4000001	PubChem:(53681619)
52	null	C8H8N4O2S	0.428776043208625	C=CCSC1=NC2=C(N1)C(=O)NC(=O)N2	InChI=1S/C8H8N4O2S/c1-2-3-15-8-9-4-5(11-8)10-7(14)12-6(4)13/h2H,1,3H2,(H3,9,10,11,12,13,14)	YOJRVLRDOZVIQU	-140.6515700499061	0.699999988	PubChem:(69769728)
53	ethyl 5-(4-hydroxyphenyl)-3-oxopentanoate	C13H16O4	0.40413803699630807	CCOC(=O)CC(=O)CCC1=CC=C(C=C1)O	InChI=1S/C13H16O4/c1-2-17-13(16)9-12(15)8-5-10-3-6-11(14)7-4-10/h3-4,6-7,14H,2,5,8-9H2,1H3	KTYYVRKJVRXTCJ	-176.92713725938705	1.89999998	PubChem:(59591536)
54	4-amino-1-[5-O-(hydroxy{[hydroxy(octyloxy)phosphoryl]oxy}phosphoryl)pentofuranosyl]pyrimidin-2(1H)-one	C17H31N3O11P2	0.4781777907125751	CCCCCCCCOP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=CC(=NC2=O)N)O)O	InChI=1S/C17H31N3O11P2/c1-2-3-4-5-6-7-10-28-32(24,25)31-33(26,27)29-11-12-14(21)15(22)16(30-12)20-9-8-13(18)19-17(20)23/h8-9,12,14-16,21-22H,2-7,10-11H2,1H3,(H,24,25)(H,26,27)(H2,18,19,23)	FROVZAQWMOPHHD	-220.51556069572342	-0.00104126346	PubChem:(381945, 499309)
55	null	C19H35N3O12P2	0.44116916813818524	C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(C(CCCCCN)CCCCO)OP(=O)(O)O)O)O	InChI=1S/C19H35N3O12P2/c20-9-4-1-2-6-13(7-3-5-11-23)35(28,34-36(29,30)31)32-12-14-16(25)17(26)18(33-14)22-10-8-15(24)21-19(22)27/h8,10,13-14,16-18,23,25-26H,1-7,9,11-12,20H2,(H,21,24,27)(H2,29,30,31)	SIIWOTVCTCAWLJ	-297.20839788341823	-1.75259316	PubChem:(87494913)
56	9-Oxoundecanoic acid	C11H20O3	0.6199556061481589	CCC(=O)CCCCCCCC(=O)O	InChI=1S/C11H20O3/c1-2-10(12)8-6-4-3-5-7-9-11(13)14/h2-9H2,1H3,(H,13,14)	KUPZGNQJONLIRP	-46.479240405404575	2.20000005	PubChem:(5282986)
57	null	C34H55N3O4S	0.33263890489006653	CCCCCCCCC1C(O1)CCCCCCCC(=O)NCCCCNS(=O)(=O)C2=CC=CC3=C2C=CC=C3N(C)C	InChI=1S/C34H55N3O4S/c1-4-5-6-7-9-12-22-31-32(41-31)23-13-10-8-11-14-25-34(38)35-26-15-16-27-36-42(39,40)33-24-18-19-28-29(33)20-17-21-30(28)37(2)3/h17-21,24,31-32,36H,4-16,22-23,25-27H2,1-3H3,(H,35,38)	RKMDMJISEKHGDM	-339.48609855184895	8.60000038	PubChem:(42601917)
58	null	C8H17O6P	0.4732464395933532	C(CCCC(=O)O)CCCOP(=O)(O)O	InChI=1S/C8H17O6P/c9-8(10)6-4-2-1-3-5-7-14-15(11,12)13/h1-7H2,(H,9,10)(H2,11,12,13)	XDWMLQVGNOJHSD	-138.54613739716467	0.100000001	PubChem:(87683703)
59	null	C19H40O12	0.3524927194366054	CC(CO)OCC(C(C(C(COC(C)COC)OC(C)CO)OC(C)CO)OO)OO	InChI=1S/C19H40O12/c1-12(6-20)26-11-17(30-23)19(31-24)18(29-14(3)8-22)16(28-13(2)7-21)10-27-15(4)9-25-5/h12-24H,6-11H2,1-5H3	GCVDKKBOEQNQLO	-245.4675900424794	-1.79999995	PubChem:(118488808)
60	Brassilate	C13H24O4	0.671350286254547	C(CCCCCC(=O)O)CCCCCC(=O)O	InChI=1S/C13H24O4/c14-12(15)10-8-6-4-2-1-3-5-7-9-11-13(16)17/h1-11H2,(H,14,15)(H,16,17)	DXNCZXXFRKPEPY	-45.75766745759873	3.51055408	PubChem:(10458, 6994474); MeSH:(10458); HMDB:(2327); CHEBI:(73718); ZINC bio:(ZINC01700020); NORMAN:(NS00010118); SuperNatural:(SN00002517, SN00216183); COCONUT:(CNP0138353, CNP0346637); additional:(null); PubMed:(null); PubChem class - bio and metabolites:(null); PubChem class - safety and toxic:(null); Training Set:(null)
61	tridecane-3,7,11-trione	C13H22O3	0.30755741459275565	CCC(=O)CCCC(=O)CCCC(=O)CC	InChI=1S/C13H22O3/c1-3-11(14)7-5-9-13(16)10-6-8-12(15)4-2/h3-10H2,1-2H3	FYYBPVNJNDINST	-148.9817795355582	0.800000012	PubChem:(20112135)
62	Basanite	C10H12N2O5	0.3503694692585673	CCC(C)C1=C(C(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-])O	InChI=1S/C10H12N2O5/c1-3-6(2)8-4-7(11(14)15)5-9(10(8)13)12(16)17/h4-6,13H,3H2,1-2H3	OWZPCEFYPSAJFR	-186.8914759188678	2.91121721	PubChem:(6950, 688400, 688401, 6921722, 6921723, 139025101, 138402734); MeSH:(6950); HMDB:(32559); CHEBI:(83636, 83632, 83633); KEGG:(C14302); HSDB:(88-85-7); ZINC bio:(ZINC13828017, ZINC13828020); NORMAN:(NS00000239); COCONUT:(CNP0003189); PubMed:(null); PubChem class - bio and metabolites:(null); PubChem class - safety and toxic:(null); Training Set:(null)
